Id;sex;slh;hrd;age;cw;day;hum
   1;1;3;5;399,3862;285;30; 0,2
   2;1;1;1;412,2148;280;14;-0,1
   3;1;3;5;405,2932;297;21; 0,5
   4;1;3;1;398,7500;268;20; 0,7
   5;1;2;3;403,5600;311;28; 0,7
   6;1;3;1;420,5201;287;13; 0,6
   7;1;1;4;398,6958;333;13;-0,3
   8;1;3;1;399,2327;273;21;-0,7
   9;1;3;2;410,3258;384;16;-3,3
  10;1;2;1;396,7712;285; 8;-0,5
  51;2;3;4;394,2149;260;22; 0,3
  52;2;3;3;401,6402;216;21; 1,9
  53;2;1;4;394,8990;253;24; 0,8
  54;2;2;1;399,7236;220;27;-1,1
  55;2;3;2;390,6127;274;29;-2,1
  56;2;2;2;404,9706;305; 1;-0,6
  57;2;1;5;394,2572;221;16; 0,1
  58;2;1;5;411,6114;223;17; 0,2
  59;2;1;5;402,6430;214;17;-1,2
  60;2;3;3;396,8718;213;14; 1,0
  61;2;3;5;395,6484;215;19;-1,7
  62;2;1;2;398,2700;291;11;-0,4
  63;2;2;5;401,8174;250; 5; 1,4
  64;2;2;4;405,4367;283;14; 0,7
  65;2;3;5;393,4487;225; 5; 0,5
  66;2;3;4;403,5232;260;10; 0,7
  67;2;3;4;403,9795;259;16;-0,2
  68;2;3;5;394,8944;215;21;-0,4
  69;2;2;4;404,3336;278;11; 0,1
  70;2;3;2;403,8691;292;21; 1,9
  71;2;2;5;395,9377;245;24;-0,8
  72;2;3;3;393,5227;204;30;-1,0
  73;2;1;1;390,8578;195;17;-0,6
  74;2;1;2;404,1549;297;30; 0,4
  75;2;1;2;389,5764;282; 2; 1,7
  11;2;1;3;401,2075;216;26; 1,1
  12;2;3;5;403,0583;213;10; 1,1
  13;2;1;1;399,6670;193; 7;-0,1
  14;2;3;2;405,6028;293; 9; 0,2
  15;2;1;1;392,2294;209;10; 0,5
  16;2;1;1;387,8008;197; 7; 2,1
  17;2;1;1;397,3267;199;16; 0,8
  18;2;3;5;389,8915;217; 1; 0,7
  19;2;2;5;392,1456;228; 4; 2,3
  20;2;1;4;413,2567;262;17;-0,8
  21;2;1;5;398,7371;213;13;-0,3
  22;2;1;2;386,6758;295; 7;-0,5
  23;2;2;1;397,0304;208;20;-1,4
  24;2;3;2;394,2727;292; 7;-2,0
  25;2;2;4;396,9692;267;16;-0,1
  26;1;3;5;403,6713;295;11;-1,1
  27;1;2;4;406,0470;350;26;-0,1
  28;1;2;3;402,1238;306;10;-0,8
  29;1;3;5;409,0325;309;19; 1,4
  30;1;2;2;393,9225;383; 7;-0,3
  31;1;3;3;400,1398;270;26;-0,2
  32;1;2;4;401,5563;355; 8; 0,2
  33;1;1;1;396,5030;267;30;-1,3
  34;1;1;4;399,0276;326;25; 0,2
  35;1;1;2;398,9676;360;28;-0,9
  36;1;2;4;394,9723;352;24; 1,3
  37;1;3;4;397,9220;332; 2; 0,0
  38;1;1;1;397,1065;260;14; 0,3
  39;1;3;3;404,4797;293;30;-0,7
  40;1;2;2;400,3027;385;22;-0,9
  41;1;2;2;414,1711;384;15;-0,4
  42;1;2;1;393,8619;276;26; 1,2
  43;1;2;1;400,6208;285;29; 0,0
  44;1;1;5;392,6558;290;10;-0,3
  45;1;1;5;402,6538;299; 8; 1,1
  46;1;2;2;404,9632;386; 4;-0,1
  47;1;2;2;401,2963;382;24;-1,1
  48;1;2;1;405,9700;297; 1; 1,2
  49;1;2;1;400,9882;295;28; 0,5
  50;1;3;4;391,5084;323;15; 1,4
 301;2;1;3;410,9549;213;22; 0,3
 302;2;2;1;405,1900;216;20; 0,9
 303;2;2;3;394,9970;226; 8; 0,5
 304;2;1;4;396,0947;260;29;-0,1
 305;2;2;5;406,0611;240;20; 0,9
 306;2;3;5;402,9323;217;24; 0,4
 307;2;3;1;399,9307;194;12;-0,1
 308;2;3;1;413,1516;210;24;-1,3
 309;2;3;3;396,4644;208;30; 0,6
 310;2;2;4;390,4090;277; 9;-1,2
 311;2;3;1;394,0686;203;30; 1,8
 312;2;2;1;401,7786;211;28; 1,9
 313;2;1;2;393,1418;275;14; 0,0
 314;2;1;3;400,9521;205;19;-0,4
 315;2;3;3;405,3577;219;26; 0,4
 316;2;1;1;399,4352;204;29;-0,8
 317;2;2;3;402,0346;225; 2; 0,1
 318;2;3;5;411,1817;235;14;-2,2
 319;2;1;3;404,8886;206; 4; 0,0
