Id;sex;slh;hrd;age;cw;sire;dam
   1;2;3;5;399;223;NA;NA
   2;2;1;1;412;207;NA;NA
   3;2;3;5;405;229;NA;NA
   4;2;3;1;399;190;NA;NA
   5;2;2;3;404;235;NA;NA
   6;2;3;1;421;215;NA;NA
   7;2;1;4;399;263;NA;NA
   8;2;3;1;399;210;NA;NA
   9;2;3;2;410;308;NA;NA
  10;2;2;1;397;210;NA;NA
  11;2;3;4;394;260;NA;NA
  12;2;3;3;402;207;NA;NA
  13;2;1;4;395;244;NA;NA
  14;2;2;1;400;219;NA;NA
  15;2;3;2;391;270;NA;NA
  16;2;2;2;405;309;NA;NA
  17;2;1;5;394;219;NA;NA
  18;2;1;5;412;210;NA;NA
  19;2;1;5;403;209;NA;NA
  20;2;3;3;397;207;NA;NA
  21;2;3;5;396;207;NA;NA
  22;2;1;2;398;273;NA;NA
  23;2;2;5;402;249;NA;NA
  24;2;2;4;405;275;NA;NA
  25;2;3;5;393;217;NA;NA
  26;2;3;4;404;256;NA;NA
  27;2;3;4;404;254;NA;NA
  28;2;3;5;395;208;NA;NA
  29;2;2;4;404;271;NA;NA
  30;2;3;2;404;296;NA;NA
  31;2;2;5;396;248;NA;NA
  32;2;3;3;394;201;NA;NA
  33;2;1;1;391;197;NA;NA
  34;2;1;2;404;301;NA;NA
  35;2;1;2;390;277;NA;NA
  36;2;1;3;401;205;NA;NA
  37;2;3;5;403;198;NA;NA
  38;2;1;1;400;190;NA;NA
  39;2;3;2;406;294;NA;NA
  40;2;1;1;392;218;NA;NA
  41;2;1;1;388;201;NA;NA
  42;2;1;1;397;202;NA;NA
  43;2;3;5;390;211;NA;NA
  44;2;2;5;392;234;NA;NA
  45;2;1;4;413;261;NA;NA
  46;2;1;5;399;222;NA;NA
  47;2;1;2;387;292;NA;NA
  48;2;2;1;397;193;NA;NA
  49;2;3;2;394;278;NA;NA
  50;2;2;4;397;263;NA;NA
  51;2;3;5;404;204; 5; 49
  52;2;2;4;406;274; 2; 47
  53;2;2;3;402;226; 2; 12
  54;2;3;5;409;236; 6; 35
  55;2;2;2;394;309; 1; 24
  56;2;3;3;400;192; 5; 36
  57;2;2;4;402;280; 9; 17
  58;2;1;1;397;201; 5; 23
  59;2;1;4;399;256; 7; 39
  60;2;1;2;399;287; 3; 29
  61;2;2;4;395;298; 1; 40
  62;2;3;4;398;260; 4; 30
  63;2;1;1;397;187; 1; 29
  64;2;3;3;404;237; 1; 31
  65;2;2;2;400;312; 3; 50
  66;2;2;2;414;313; 8; 38
  67;2;2;1;394;199; 9; 45
  68;2;2;1;401;212; 7; 34
  69;2;1;5;393;227; 7; 13
  70;2;1;5;403;216;10; 30
  71;2;2;2;405;313; 1; 29
  72;2;2;2;401;307; 7; 19
  73;2;2;1;406;217; 5; 50
  74;2;2;1;401;218; 3; 41
  75;2;3;4;392;248; 5; 38
 301;2;1;3;411;206; 2; 37
 302;2;2;1;405;210; 9; 25
 303;2;2;3;395;232; 3; 42
 304;2;1;4;396;256; 9; 17
