Id;sex;slh;hrd;age;cw;day;hum
   1;2;3;5;399;223;10; 1,3
   2;2;1;1;412;207; 6;-0,1
   3;2;3;5;405;229; 9;-1,3
   4;2;3;1;399;190; 9; 0,2
   5;2;2;3;404;235;19;-0,6
   6;2;3;1;421;215;19;-1,0
   7;2;1;4;399;263;20;-0,1
   8;2;3;1;399;210;30;-1,3
   9;2;3;2;410;308;30;-0,7
  10;2;2;1;397;210; 3;-1,7
  11;2;3;4;394;260;19;-0,3
  12;2;3;3;402;207; 6; 1,2
  13;2;1;4;395;244;24; 1,1
  14;2;2;1;400;219; 7; 0,9
  15;2;3;2;391;270;13; 1,5
  16;2;2;2;405;309; 1;-1,0
  17;2;1;5;394;219;12; 0,0
  18;2;1;5;412;210; 4;-1,9
  19;2;1;5;403;209;29;-0,7
  20;2;3;3;397;207;14;-2,4
  21;2;3;5;396;207;28;-1,3
  22;2;1;2;398;273; 2; 0,0
  23;2;2;5;402;249;12;-0,1
  24;2;2;4;405;275;15; 0,9
  25;2;3;5;393;217;30; 0,2
  26;2;3;4;404;256;28;-0,2
  27;2;3;4;404;254;16;-0,8
  28;2;3;5;395;208;24; 1,9
  29;2;2;4;404;271;24; 0,5
  30;2;3;2;404;296; 3; 1,3
  31;2;2;5;396;248; 5;-0,2
  32;2;3;3;394;201; 9; 1,0
  33;2;1;1;391;197;26; 0,9
  34;2;1;2;404;301;24;-0,8
  35;2;1;2;390;277; 1;-0,2
  36;2;1;3;401;205; 2; 0,7
  37;2;3;5;403;198;29; 0,9
  38;2;1;1;400;190; 6;-0,7
  39;2;3;2;406;294;23; 0,9
  40;2;1;1;392;218;14;-0,9
  41;2;1;1;388;201;21;-0,1
  42;2;1;1;397;202;17; 1,8
  43;2;3;5;390;211;19; 0,8
  44;2;2;5;392;234; 7;-0,7
  45;2;1;4;413;261;10; 0,8
  46;2;1;5;399;222;24; 1,5
  47;2;1;2;387;292;14; 0,7
  48;2;2;1;397;193;18; 2,3
  49;2;3;2;394;278; 7;-1,1
  50;2;2;4;397;263;28;-0,4
  51;2;3;5;404;204; 6; 0,9
  52;2;2;4;406;274;30; 0,1
  53;2;2;3;402;226;28;-1,2
  54;2;3;5;409;236;26;-0,4
  55;2;2;2;394;309;15;-1,3
  56;2;3;3;400;192;15;-0,2
  57;2;2;4;402;280; 4; 0,1
  58;2;1;1;397;201;22;-0,4
  59;2;1;4;399;256;14; 1,4
  60;2;1;2;399;287;17; 2,2
  61;2;2;4;395;298;13; 0,4
  62;2;3;4;398;260; 8;-0,2
  63;2;1;1;397;187;11; 1,1
  64;2;3;3;404;237;23; 0,5
  65;2;2;2;400;312;17; 0,6
  66;2;2;2;414;313;14; 0,5
  67;2;2;1;394;199;14; 1,3
  68;2;2;1;401;212;30;-0,3
  69;2;1;5;393;227;20; 1,1
  70;2;1;5;403;216;10; 0,3
  71;2;2;2;405;313;24; 0,6
  72;2;2;2;401;307;16;-0,3
  73;2;2;1;406;217; 1;-1,6
  74;2;2;1;401;218;22;-0,5
  75;2;3;4;392;248;13;-0,6
 301;2;1;3;411;206;23;-0,8
 302;2;2;1;405;210; 7; 0,0
 303;2;2;3;395;232;14; 0,5
 304;2;1;4;396;256;14; 0,4
 305;2;2;5;406;241; 4; 1,2
 306;2;3;5;403;221;23; 0,1
 307;2;3;1;400;186; 4; 0,6
 308;2;3;1;413;205;25; 1,7
 309;2;3;3;396;202;14; 0,7
 310;2;2;4;390;262;11; 0,7
 311;2;3;1;394;200; 9;-0,9
 312;2;2;1;402;210;30;-0,2
 313;2;1;2;393;265;13; 0,1
 314;2;1;3;401;210;12;-0,4
 315;2;3;3;405;215;24;-1,0
 316;2;1;1;399;199; 5; 0,5
 317;2;2;3;402;218;25; 0,0
 318;2;3;5;411;242;25; 1,3
 319;2;1;3;405;207;20;-0,9
 320;2;3;2;403;307; 3; 1,4
 321;2;2;4;400;285;17; 0,2
 322;2;1;4;401;242;21;-0,7
 323;2;2;1;397;227; 2; 2,1
 324;2;1;5;402;213;17;-0,4
 325;2;3;1;406;195;25;-0,2
 326;2;3;4;398;245; 7;-1,2
 327;2;1;4;390;253;26; 0,5
 328;2;2;5;401;245; 5; 0,4
 329;2;1;3;387;196;24; 0,0
 330;2;1;1;400;190;15;-1,9
 331;2;3;1;399;178;27;-0,5
 332;2;3;5;400;225;17; 0,3
 333;2;1;1;400;207;16; 0,5
 334;2;3;5;396;190;20; 0,4
 335;2;3;3;404;204;30; 1,3
 336;2;2;3;396;221;20; 0,7
 337;2;1;1;400;194; 3;-0,9
